"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Cart","0","Add to Cart","1","0","","0"
"0","Authorization","0","Login Modal","1","0","","0"
"0","Promotions","0","Promotions Page","1","0","","0"
"0","Search","0","Search Functionality","1","0","","0"
